楼房名称,价格（套/万元）,单价（元/m2）,地址,房间样式,房间规模（m2）,楼层规模
茂华国际汇南区 3室2厅 140万,140,10674,茂华国际汇南区 ,3室2厅 ,131.17, 低楼层
清新花苑，精装，满2年，多层出售,83.8,7760,清新花苑南区 ,3室2厅 ,108, 中楼层
中交 中高层 采光无遮挡 视野好 三室低总价,85,8487,中交香槟国际 ,3室2厅 ,100.16, 高楼层
户型方正，交通便利，居民素质较高,192,16552,梧桐公馆 ,3室2厅 ,116, 高楼层
毛坯，满两年，有汽车位，随时看房。,131,9624,中南世纪锦城 ,4室2厅 ,136.12, 中楼层
钱隆城 中高层 采光好视野好 四室二厅 小区配套齐全,125,9075,福晟钱隆城 ,4室2厅 ,137.75, 中楼层
优质房型，靠阳光湖公园，交通便利,93,8018,中央华府 ,3室2厅 ,116, 中楼层
学府名门 3室2厅 105万,105,9906,学府名门 ,3室2厅 ,106, 高楼层
南城小区三房毛坯，交通便利，楼层好。,65,6510,南城小区 ,3室1厅 ,99.86, 中楼层
华德力运河城 5室2厅 280万,280,9241,华德力运河城 ,5室2厅 ,303, 中楼层
钥匙房艺达名都 东边户 户型好 毛坯现房 自由装,76,6230,艺达名都 ,3室2厅 ,122, 高楼层
城置公园龙湾 3室2厅 102万,102,7176,城置公园龙湾 ,3室2厅 ,142.15, 高楼层
南浦佳园 2室2厅 72万,72,8000,南浦佳园 ,2室2厅 ,90, 中楼层
郦城国际南苑  经典106平三房 楼层好 采光 充足,150,14151,郦城国际南苑 ,3室2厅 ,106, 高楼层
全新毛坯大4房，楼层适中，采光全天候，配套齐全,129,6808,旺江壹品 ,5室2厅 ,189.5, 中楼层
业主诚心卖房 采光好 看房提前联系,85,8948,金色阳光城 ,2室2厅 ,95, 中楼层
钱隆城 高层 视野宽阔采光充足 三开间朝阳 房东诚心卖,140,7735,福晟钱隆城 ,7室2厅 ,181, 高楼层
精致小三房，专业的物业团队，小区环境优美,96.8,9491,融侨观邸 ,3室2厅 ,102, 低楼层
悦达广场 2室2厅 116.8万,116.8,11381,悦达广场 ,2室2厅 ,102.63, 低楼层
业主诚心出售学府名  门电梯三房随时看房,85,8586,学府名门 ,3室2厅 ,99, 中楼层
超大双阳台 旁边就是淮海南路 业主和我熟看房有钥匙,84,8660,四季金辉观岚 ,3室2厅 ,97, 中楼层
全新小区，河景房，三开间朝南，双阳台，户型方正,102,8032,华德力运河城 ,3室2厅 ,127, 高楼层
梁红玉路文府佳苑  毛坯电梯大三房  有钥匙随时看,95,7225,文府佳苑 ,3室2厅 ,131.5, 低楼层
户型方正楼层好，视野宽阔，采光充足..,76,9441,玖珑湾 ,2室1厅 ,80.5, 低楼层
乾隆御景，两房毛坯，户型方正，采光无遮挡。。。,63,7423,力天健康城 ,2室2厅 ,84.88, 高楼层
交通便利，周 边购物超市，餐饮娱乐多。,84.2,8175,华德力运河城 ,3室2厅 ,103, 高楼层
淮海路边上，最前排 19楼 采光无遮挡 有钥匙看房方便,73,7315,永业梦乐城 ,2室2厅 ,99.8, 高楼层
郁金蓝湾 3室2厅 100万,100,7962,郁金蓝湾 ,3室2厅 ,125.6, 高楼层
郁金蓝湾高品质小区 户型方正 采光无遮挡 视野开阔,86,8959,郁金蓝湾 ,2室2厅 ,96, 中楼层
明厨明卫经典开间，通风好，楼间距宽，无遮挡视野好,130,6771,学林雅苑 ,5室2厅 ,192, 高楼层
翔宇大道旁边 香水郡 131平3室2厅2卫 看房方便,95,7252,香水郡 ,3室2厅 ,131, 高楼层
此房朝南户型方正精装修采光充足，配套设施 齐全,78,9070,江淮印象 ,3室2厅 ,86, 中楼层
此房毛坯，户型方正，阳光湖边环境优美适合居住,75,8372,中央华府 ,2室2厅 ,89.59, 高楼层
青年路永泰家园 中间楼层 毛坯,70.5,7916,永泰家园 ,2室2厅 ,89.07, 中楼层
大学城 品质小区 学府嘉苑  三房两卫 户型方正,99,7920,学府名门 ,3室2厅 ,125, 低楼层
包营业所税 户型好  房东也诚心出售的,102,8500,学府名门 ,3室2厅 ,120, 低楼层
金域华府 3室1厅 130万,130,11112,金域华府 ,3室1厅 ,117, 中楼层
绿地世纪城国际花都北苑 3室2厅 168万,168,14238,绿地世纪城国际花都北苑 ,3室2厅 ,118, 低楼层
业主诚心出售毛坯三房两厅两卫随时看房,92,7337,学府名门 ,3室2厅 ,125.4, 低楼层
木材公司宿舍两室一厅精装修设施齐全业主诚意出售,79.8,11478,木材公司宿舍 ,2室1厅 ,69.53, 中楼层
此房正规四居室，采光好，楼层好，视野好,133,10692,建华观园 ,3室2厅 ,124.4, 高楼层
恒大名都三期精装修，采光好，带家具家电,90,8911,恒大名都三期 ,3室2厅 ,101, 低楼层
恒大名都三期精装修三房 全新未人住过 中间好楼层,100,8172,恒大名都三期 ,3室2厅 ,122.38, 中楼层
户型方正，环境优美，房主诚意出售 随时可以看房,86,8144,丰球璟园 ,3室1厅 ,105.6, 高楼层
新安校 区，公园小区 电梯房 好楼层,79,6639,公园小区 ,3室2厅 ,119, 中楼层
水渡口大道 融侨观邸 3房 毛坯 有钥匙,115,9967,融侨观邸 ,3室2厅 ,115.39, 中楼层
交通便利，周 边购物超市，餐饮娱乐多。,128,12550,郦城国际 ,2室2厅 ,102, 中楼层
户型方正、楼层好、采光充足、视野好,125,10331,中南世纪锦城 ,4室2厅 ,121, 中楼层
户型方正、楼层好、采光充足、视野好,101,7320,云河湾 ,4室2厅 ,137.99, 低楼层
此房满二年，采光好户型方正阳光湖旁,89,8212,中央华府 ,3室2厅 ,108.38, 中楼层
金域华府，交通便利，环境优美，品质小区，靠公园。,133,11368,金域华府 ,3室2厅 ,117, 中楼层
金域华府，环境优美，交通便利，品质小区，靠公园。,200,12250,金域华府 ,4室2厅 ,163.27, 中楼层
学府名门 3室2厅 99.8万,99.8,7984,学府名门 ,3室2厅 ,125, 低楼层
此房已经满2年了，没有增值税，毛坯随意装修,82.5,7784,御庭园 ,3室1厅 ,106, 中楼层
都市嘉源小区 4室2厅 122万,122,7350,都市嘉源小区 ,4室2厅 ,166, 高楼层
书院名居毛坯两房，户型方正，采光佳。,75,8523,书院名居 ,2室2厅 ,88, 中楼层
御景城南区 3室2厅 110万,110,9402,御景城南区 ,3室2厅 ,117, 中楼层
户型方正、楼层好、光线好、视野好,100,9901,中天翡丽湾 ,3室2厅 ,101, 高楼层
华德力运河城     采光刺眼   无遮挡,76,8462,华德力运河城 ,2室2厅 ,89.82, 低楼层
茂华二期，复式房，毛坯房，中等楼层，有钥匙,139,10297,璟和名城 ,3室2厅 ,135, 中楼层
中茵春天里高品质小区 户型反正 采光无遮挡  视野开阔,96,7934,中茵春天里翰林花园III-IV期 ,3室2厅 ,121, 低楼层
中央华府 3室2厅 95万,95,8247,中央华府 ,3室2厅 ,115.2, 高楼层
此房产权清晰，无债务纠纷，视野宽阔,75.8,9133,报业新城 ,2室1厅 ,83, 中楼层
户型方正，环境优美，房主诚意出售 随时可以看房。,350,13672,叶与城 ,5室2厅 ,256, 3层  
九龙湾三房，中间楼层，采光无遮挡，户型方正！,123,9840,玖珑湾 ,3室2厅 ,125, 中楼层
新港小区多层4楼精装设施齐全家电家具全拎包入住,72.8,8089,新港小区 ,2室2厅 ,90, 中楼层
汇丰广场，全新装修，3居室，房型正,115,10455,汇丰中央广场 ,3室1厅 ,110, 中楼层
亿力未来城，精装修，满五唯一，楼层好 交通便利。,118,12172,亿力未来城 ,2室1厅 ,96.95, 中楼层
翡翠城花园，精装复式楼，采光好,130,9028,翡翠城花园 ,3室2厅 ,144, 高楼层
荷湖星城 3室2厅2卫 拎包入住,130,9933,荷湖星城 ,3室2厅 ,130.89, 低楼层
富丽花园 架空一楼 带自制院落 满五年 诚心出售,105,8809,富丽花园 ,3室2厅 ,119.2, 低楼层
新华苑，交通便利，随时看房，采光好,82,13142,新华苑 ,3室1厅 ,62.4, 中楼层
北京如意 户型方正 公摊面积小 视野开阔,108,8979,北京如意国际花园 ,3室2厅 ,120.29, 高楼层
南北朝向 随时看房 精装修 家具家电全,73,8112,南城小区 ,3室1厅 ,90, 低楼层
满2年精装修 带院子30平方 采光好 南北朝向拎包即住,87,9352,伊美翡翠城 ,2室2厅 ,93.03, 低楼层
富源尚城6-7楼复式 多层公摊少,111,6343,富源尚城 ,3室2厅 ,175, 高楼层
公安局西安路宿舍，位置安静，随时看房,68,8718,淮安市公安局西安路宿舍区 ,2室1厅 ,78, 高楼层
金陵名府 满五唯一 自带25平方车库 复式楼 拎包入住,82,9059,金陵名府 ,2室2厅 ,90.52, 高楼层
前面无遮挡，采光通风好，得房高，环境优雅。,81,12487,新城市花园 ,2室1厅 ,64.87, 中楼层
一楼采光好精装修二居室大客厅朝阳,68,7728,大湖城邦 ,2室2厅 ,88, 低楼层
瑞祥花苑，交通便利，随时看房，位置安静,120,10627,瑞祥花苑 ,3室2厅 ,112.92, 低楼层
中天优诗美地，翔宇大道边上，采光好，出行很方便。,108,11445,中天优诗美地 ,2室2厅 ,94.37, 低楼层
金陵名府，温馨两房，拎包入住，楼层采光无遮挡,80,8594,金陵名府 ,2室2厅 ,93.09, 低楼层
米兰花园顶楼带阁楼，含车库，看房提前联系,110,8682,米兰花园 ,3室2厅 ,126.7, 高楼层
诚心出售国税公寓多层小三室房子，价格可谈,76,8397,国税公寓 ,3室2厅 ,90.51, 高楼层
水厂宿舍三室69.8万 公摊小 采光佳 中间楼层,68.8,9313,水厂宿舍 ,3室1厅 ,73.88, 中楼层
富春花园大三房118平方120万出售,121,10212,富春花园 ,3室2厅 ,118.49, 中楼层
房主诚心出售  地段好   小区环境优美。。。。,83,8670,翔宇壹号 ,2室2厅 ,95.74, 低楼层
健康新村，交通便利，随时看房，位置安静,80,9532,健康新村西区 ,2室2厅 ,83.93, 中楼层
蓝庭印象花园 3室2厅 93万,93,9290,蓝庭印象花园 ,3室2厅 ,100.11, 低楼层
阳光现代城 精装二房 交通便利 配套齐全,42,5437,阳光广场 ,2室1厅 ,77.25, 中楼层
房子住的少 看房方便 满2年 拎包即住 采光好,105,7584,淮安恒大名都 ,3室2厅 ,138.46, 高楼层
深圳路边上 雅和翠庭四楼 精装修 家具全留,85,7114,雅和翠庭 ,3室2厅 ,119.49, 中楼层
洪福小区 4室2厅 76万,76,8232,洪福小区 ,4室2厅 ,92.33, 高楼层
清隆家园，满两年，精装修，看房提前联系,53,7163,清隆家园南区 ,2室2厅 ,74, 高楼层
交通便利，周 边购物超市，餐饮娱乐多。,132,10995,亿力未来城 ,3室2厅 ,120.06, 中楼层
淮海第城精装好房满五年 小户型可自住或出租,110,11957,淮海第一城 ,2室1厅 ,92, 高楼层
业主诚心出售翰林花园两室两厅一卫随时看房,72,7850,翰林花园 ,2室2厅 ,91.73, 高楼层
稀有的多层通胜花园精装修急售急售,88.8,8588,通胜花园 ,3室2厅 ,103.41, 高楼层
清新花苑多层一楼，中等装修带车库不潮湿,66,7136,清新花苑北区 ,3室1厅 ,92.5, 低楼层
运河嘉苑大三房 有阁楼 精装修，家电家具齐全,86,7506,运河嘉苑 ,3室2厅 ,114.58, 高楼层
紫晶花苑 视野开阔 采光24小时留在你家中 看房方便,110,11745,紫晶花苑 ,2室2厅 ,93.66, 高楼层
业主诚心出售此房，看房方便，随时看房,73,8619,学林雅苑 ,2室2厅 ,84.7, 中楼层
老证，南北通格局，采光充足，配套设施齐， 交通便利,72,7541,书香门第 ,2室2厅 ,95.48, 高楼层
梁红玉路淮上人家 精装电梯大三房老证 近万达文锦城,116,9138,淮上人家 ,3室2厅 ,126.95, 中楼层
亿丰时代广场 婚房装修 保养甚好 老证,102,10392,亿丰时代广场 ,2室2厅 ,98.16, 高楼层
前进小区一楼带院子，一室一厅精装,50,10136,前进小区 ,1室1厅 ,49.33, 低楼层
东湖翠景苑 2室2厅 毛坯房装修风格随意,61,6763,东湖翠景苑 ,2室2厅 ,90.2, 中楼层
深圳路边凯旋宫三室两厅精装修设施齐全,98,7425,凯旋宫 ,3室2厅 ,132, 高楼层
精装修金榜花园，复式，直接入住有60平大平台,125,6454,金榜花园 ,5室2厅 ,193.7, 高楼层
太平东街49平方只要54万，简单装修，拎包入住,54,10976,太平东街37号 ,1室1厅 ,49.2, 低楼层
老证，楼层好，采光充足，交通便利，房东诚意出售,90,11393,中南世纪锦城 ,2室2厅 ,79, 高楼层
罗马假日 2室1厅 75万,75,8521,罗马假日 ,2室1厅 ,88.02, 低楼层
卢浮公馆 格局好，楼层好，视野宽阔,195,18309,卢浮公馆 ,3室2厅 ,106.51, 高楼层
天香花苑 3室1厅 70万,70,7291,天香花苑 ,3室1厅 ,96.01, 高楼层
楼层好，视野宽阔，采光充足 有车库,68,9322,运河家苑 ,2室1厅 ,72.95, 高楼层
此房满五年格局好，楼层好，视野宽阔，采光充足,55.8,9127,前进小区 ,2室2厅 ,61.14, 高楼层
富丽花园 精装修 拎包入住 总价低,75,9260,富丽花园 ,2室1厅 ,81, 中楼层
世纪佳苑多层复式，自带阳光房，自带车库,88,5867,世纪佳苑 ,3室2厅 ,150, 高楼层
此房满5年 纯毛坯 南北通透 采光充足  视野开阔,120,7229,月季花园 ,4室2厅 ,166, 高楼层
恒大名都一起观景房 采光大 四  房满2年急,130,7355,淮安恒大名都 ,4室2厅 ,176.76, 高楼层
淮阴区威尼斯城市佳苑，好房出售,97,7462,威尼斯现代广场 ,3室2厅 ,130, 中楼层
出售大四房，楼层好，价格美丽。,160,8206,运河嘉苑 ,4室2厅 ,195, 中楼层
上海新城 顶楼大复式  视野好 采光好,140,6512,上海新城 ,5室2厅 ,215, 高楼层
樱花小区 采光房  带有大车库 大阁楼看房方便,138,11510,樱花小区 ,3室1厅 ,119.9, 高楼层
银河花园，三室，环境优雅交通方便。,100,7247,银河湾花园 ,3室2厅 ,138, 高楼层
天山华庭精装修三室朝阳 顶楼带阁楼 带车库,155,15078,天山华庭 ,3室2厅 ,102.8, 高楼层
银河湾花园叠加别墅精装修业主诚心出售,260,9812,银河湾花园 ,5室2厅 ,265, 低楼层
蓝庭印象花园精装修，满五唯一，户型不错。,125,9485,蓝庭印象花园 ,4室2厅 ,131.8, 低楼层
幸福新苑采光好视野开阔交通方便,105,7395,幸福新苑 ,4室2厅 ,142, 高楼层
此房卧室朝南，楼层好，格局合理，采光充足中等装修,278,22842,荷花池花园小区 ,3室2厅 ,121.71, 中楼层
樱花小区3室毛坯 好楼层3楼 有车库 采光充足位置好,120,9023,樱花小区 ,3室2厅 ,133, 中楼层
河畔花城 多层 带阁楼 带车库    户型方正,125,11364,河畔花城 ,3室2厅 ,110, 高楼层
南北通格局，采光充足，配套设施齐 交通便利,138,7541,紫金花苑 ,4室2厅 ,183, 高楼层
黄河花园.满五.带阁楼.中等装修.基本设施齐全看房方便,86,8254,黄河花园十四地块 ,3室2厅 ,104.2, 高楼层
三房朝南      采光雪滑      拎包入住,84.8,7926,翔宇花园 ,4室2厅 ,107, 高楼层
德汇公馆 空中花园 精装房两层楼 全木质家具温暖型,155,9688,德汇公馆 ,5室2厅 ,160, 高楼层
紫金花苑       交通便利      环境优美,107,7926,紫金花苑 ,3室2厅 ,135, 中楼层
加州城 多层采光好 客户朝南 户型经典 看房方便,126,10000,加州城b区 ,3室2厅 ,126, 中楼层
人民南路石塔湖小区，满五年带阁楼，淮海路施教区。,108,8781,石塔湖小区 ,3室2厅 ,123, 高楼层
楼层好，采光好，业主 心态好，诚心出售,85,10000,东方花园 ,2室2厅 ,85, 高楼层
华德力逸翠园精装3房带阁楼有产证,81.8,7505,运河城逸翠园 ,3室2厅 ,109, 高楼层
天鹅湾前排大别墅 前无遮挡 采光好 毛坯房,480,11429,金辉天鹅湾 ,6室4厅 ,420, 4层  
淮阴区台州上城交通方便，套型好，拎包入住,73,6760,台州商城 ,3室1厅 ,108, 中楼层
淮河生态园黄河人家精装四房随时看房,145,10140,黄河人家 ,4室2厅 ,143, 中楼层
中熙凤凰城四室二厅业主城心出售希望找到有缘的你,113,9187,中熙凤凰城 ,4室2厅 ,123, 高楼层
钱隆城毛坯三室中上楼层采光通风良好房主诚售！,92,7302,福晟钱隆城 ,3室2厅 ,126, 低楼层
汇源楼 3室2厅 125万,125,13298,汇源楼 ,3室2厅 ,94, 低楼层
满两年 户型方正 三开间朝南 电梯中等楼层采光好,118,8502,维多莉雅花苑 ,3室2厅 ,138.8, 中楼层
南浦佳园多层小区交通方便，生活便利,57,6000,南浦佳园 ,3室2厅 ,95, 中楼层
银河公馆商品房，采光风景房，华丽装修。,90,7032,银河公馆 ,3室2厅 ,128, 高楼层
东湖望景苑，精装三房，南北通透，采光好有7平方车库,90,8824,东湖望景苑 ,3室2厅 ,102, 高楼层
融侨华府 空中别墅 前面没遮挡 采光好 看好价格能谈,168,9600,融侨·华府 ,3室3厅 ,175, 高楼层
水渡口大道，多层带阁楼，实用面积大，有自行车库,60,8824,和达雅苑B区 ,2室1厅 ,68, 高楼层
价格不高 多层得房率高 看房子方便,70,7015,公园小区 ,3室2厅 ,99.8, 低楼层
樱花小区 精装修 带电动车库 拎包入住！·,129,9773,樱花小区 ,3室2厅 ,132, 低楼层
盛世豪庭 高层共6层。采光无遮挡。,96,8136,盛世豪庭(楚州区) ,3室2厅 ,118, 高楼层
淮阴区法国小城，交通方便，套型好，拎包入住，,89.9,9989,依云法国小城 ,2室2厅 ,90, 高楼层
淮海花园一楼带院子复式精装修急售,355,14854,淮海花园B2区 ,4室2厅 ,239, 低楼层
融侨华府，复式，满两年，看房方便,210,12000,融侨·华府 ,4室3厅 ,175, 低楼层
淮海西路加州城大面积，适合大家庭人口多！,160,10667,加州城b区 ,4室2厅 ,150, 高楼层
房东诚心出售，此房位置好，采光充足，欢迎来电咨询,98,8449,广厦公寓 ,3室2厅 ,116, 中楼层
茂华国际南区，三室两厅，精装修，户型方方正正,218,12573,茂华国际汇南区 ,4室2厅 ,173.39, 高楼层
淮阴区多瑙河，交通方便，套型好，拎包入住，,95,8637,多瑙河国际公寓 ,5室2厅 ,110, 高楼层
淮阴区江淮人家交通方便，套型好，拎包即住,122,8473,江淮人家 ,4室2厅 ,144, 中楼层
香水郡 3室2厅 毛坯 随时可看房,125,8742,东湖怡景苑三期 ,3室2厅 ,143, 高楼层
银河公馆，纯毛坯三房，采光无遮挡,69,6389,银河公馆 ,3室2厅 ,108, 高楼层
长岛花园四房两厅满两年业主诚心出售,130,8125,长岛花园 ,4室2厅 ,160, 高楼层
急售， 维多莉蕥，前排采光好，户型正气，交通便利,95,6835,维多莉雅花苑 ,3室2厅 ,139, 低楼层
此房满2年 楼层 好 价格美丽 户型方正 南北通透,138,6970,淮安恒大名都 ,5室2厅 ,198, 低楼层
此房楼层好，视野开阔，采光刺眼，配套齐,236,13564,亿力未来城二期 ,4室2厅 ,174, 高楼层
幸福城二期精装修 东边户  四室两厅 楼层好采光佳,140,11200,幸福城 ,4室2厅 ,125, 低楼层
盛华和美居  精装修两房 出售,82,8914,盛华和美居西区 ,2室2厅 ,92, 高楼层
中信山水名邸   2室    房东心态稳定,95,9694,中信山水名邸 ,2室2厅 ,98, 中楼层
急售罗马假日，好楼层，采光充足，户型方正三房,98,7778,罗马假日 ,3室2厅 ,126, 中楼层
好地段 好户型 复式  华丽装修 拎包入住,110,9167,金陵名府 ,3室2厅 ,120, 高楼层
琥珀美墅6室2厅3卫小区环境优美,225,8755,琥珀美墅 ,7室2厅 ,257, 3层  
格局南北通透，采光无遮挡，价格可谈,150,9804,玫瑰苑 ,4室2厅 ,153, 高楼层
剑桥佳苑的6楼带阁楼的 户型正气 阳光充足 看房方便,87.8,6300,剑桥佳苑 ,4室2厅 ,139.37, 高楼层
稀有的多层多瑙河景观房带车库急售,116,8993,多瑙河国际公寓 ,4室2厅 ,129, 中楼层
云梦清河 毛坯 前排 联排 满2年,350,13208,云梦清河 ,5室3厅 ,265, 3层  
中南世纪城 精装四房 户型方正 老证税少,120,9033,中南世纪城一期 ,4室2厅 ,132.85, 低楼层
金奥国际精装修四房，满两年，交通便利，环境优美,200,14389,金奥国际中心 ,4室2厅 ,139, 低楼层
中天翡丽湾三房两厅一厨一卫，环境优美，空气清新,125,10594,中天翡丽湾 ,3室2厅 ,118, 低楼层
樱花小区3室 采光充足 有车库 位置好 交通便利,98,8306,樱花小区 ,3室2厅 ,118, 高楼层
稀有的多层天和豪庭带车库急售急售,111.8,9164,天和豪庭 ,3室2厅 ,122, 低楼层
大润发南边 青岛小区  多层3楼 房屋出售,70,6931,青岛小区 ,3室1厅 ,101, 中楼层
房子满五年，楼层好，随时看房，价格面议,168,14359,乐园步行街 ,4室1厅 ,117, 中楼层
丽正花苑 满五年 经典多层带阁楼 得房率高 宜居房产,105,9912,丽正花苑 ,5室2厅 ,105.94, 高楼层
多层洋房，一二楼叠加，有院子，满两年，随买随签,190,10440,叶与城 ,4室2厅 ,182, 低楼层
弘辉首馥，精装修，满两年，拎包入住,260,17568,弘辉首馥 ,4室2厅 ,148, 高楼层
福晟钱隆城 3室2厅 85.8万,85.8,8290,福晟钱隆城 ,3室2厅 ,103.5, 低楼层
市中芯位置高档小区生活配套成熟黄精楼层采光刺眼,172,12147,淮海第一城 ,3室3厅 ,141.6, 高楼层
深圳路 大湖城邦玫瑰苑  好楼层 采光好,85,7728,大湖城邦玫瑰园 ,3室2厅 ,110, 高楼层
邦德云鼎  好楼层  采光充足,153,10338,邦德云鼎 ,3室2厅 ,148, 低楼层
豪景华庭采光好视野开阔交通方便。,102,8032,豪景华庭 ,3室2厅 ,127, 高楼层
恒大名都精装四房，全新未住，带平台。,120,8451,淮安恒大名都 ,4室2厅 ,142, 低楼层
红豆美墅，有房出售，实施齐全，提包就住，交通方便,138,9518,红豆美墅 ,4室2厅 ,145, 低楼层
上海新城楼层好，采光好，业主想早点卖掉，,100,7766,上海新城 ,3室2厅 ,128.77, 高楼层
金域华府楼层好，采光好，业主想早点卖掉！,175,13060,金域华府 ,4室2厅 ,134, 高楼层
茂华国际汇，三房，采光好，户型好,185,11043,茂华国际汇南区 ,3室3厅 ,167.53, 高楼层
此房楼层好，视野开阔，采光刺眼，配套齐,120,10910,河畔花城 ,3室2厅 ,110, 中楼层
楼层较高采光好，交通便利.出行方便..,190,12752,中瑞大厦 ,3室2厅 ,149, 低楼层
中南世纪城精装3房 老证税少 拎包入住,145,11129,中南世纪城一期 ,3室2厅 ,130.3, 低楼层
医药公司宿舍  三室 重新装修过了 拎包入住,82.8,8449,医药公司宿舍楼 ,3室1厅 ,98, 高楼层
法国小城采光好，视野宽阔，交通方便,88,9888,依云法国小城 ,2室2厅 ,89, 高楼层
东湖望景苑多层大户型六楼有阁楼有28平方左右车库,110,8395,东湖望景苑 ,4室2厅 ,131.04, 高楼层
新城区中南世纪城  南北通透随时可以看房,113,8497,中南世纪城一期 ,3室2厅 ,133, 低楼层
市中 心地段 天山华庭复式3层,245,13612,天山华庭 ,5室3厅 ,180, 高楼层
喜利达名苑 三房毛坯 南北通 户型方正 双阳台,112,7771,喜利达名苑 ,3室2厅 ,144.13, 高楼层
翔宇壹号，精装修，采光好，南北通风，交通便利环境好,98,9608,翔宇壹号 ,2室2厅 ,102, 中楼层
水岸名宅三室两厅两卫房采光通透,125,9909,水岸名宅 ,3室2厅 ,126.16, 高楼层
万达商圈 中鑫上城  精装修  办公楼,90.6,10004,中鑫上城 ,1室0厅 ,90.57, 高楼层
万达商圈  中鑫上城  精装修  办公楼,65,10019,中鑫上城 ,1室0厅 ,64.88, 高楼层
万达商圈  中鑫上城  精装修  办公楼,66,10029,中鑫上城 ,1室0厅 ,65.81, 高楼层
中南世纪城 精装房 有地暖 家具家电全部在,150,12397,中南世纪城 ,3室2厅 ,121, 高楼层
业主要在南京买了房，赞不居住淮安，诚心售房,120,9678,金满華府 ,3室2厅 ,124, 低楼层
伊美翡翠城二区 精装大四房带阁楼,110,7334,伊美翡翠城 ,4室2厅 ,150, 高楼层
中 央华府，多层，位置好，4房，120万。,120,9182,中央华府 ,4室2厅 ,130.7, 中楼层
天山华庭3、4楼复式两层 楼层好 采光佳,200,13341,天山华庭 ,4室2厅 ,149.92, 中楼层
丹桂苑精装修三房采光充足加车库,130,10986,丹桂苑 ,3室2厅 ,118.34, 高楼层
天山华庭复式1、2楼 采光佳 无遮挡 视野宽阔,248,16536,天山华庭 ,4室2厅 ,149.98, 低楼层
户型方正，环境优美，随时看房。,160,8021,长岛花园 ,5室2厅 ,199.5, 高楼层
此房满二年 精装修 房东诚心出售 采光好,260,13578,叶与城西区 ,4室2厅 ,191.5, 低楼层
樱花小区 一二楼叠加 院子50平左右 有轿车库,226,12556,樱花小区 ,4室2厅 ,180, 低楼层
新新家园 3室2厅 73万,73,6953,新新家园 ,3室2厅 ,105, 高楼层
开发区奇祥苑4室2厅毛坯随时可看房,85,5152,奇祥苑小区 ,5室2厅 ,165, 高楼层
梧桐公馆四房两厅一厨两卫隔壁就是吾悦广场环境优美,175,8664,梧桐公馆 ,4室2厅 ,202, 低楼层
新天荣府新小区，万达商圈，交通便利,144,10289,新天地荣府 ,4室2厅 ,139.96, 高楼层
新天荣府，新小区万达商圈，交通便利,178,12726,新天地荣府 ,4室2厅 ,139.88, 低楼层
郦城国际楼层好，采光好，业主想早点卖掉！,172,12286,郦城国际 ,4室2厅 ,140, 中楼层
房子是精装修，保养的很好；户型方方正正,295,15946,叶与城西区 ,3室2厅 ,185, 低楼层
采光很好，户型无可挑剔，拎包即住。,148,12232,康城明珠南区 ,3室2厅 ,121, 低楼层
红星国际广场   户型方正   采光刺眼,81.8,9666,红星国际广场 ,2室2厅 ,84.63, 高楼层
中南精致小三房 户型方正 采光无遮挡 看房方便,120,9303,中南世纪锦城 ,4室2厅 ,129, 中楼层
樱花小区 多层三楼 两室朝南 超大阳台 视野开阔,125,8866,樱花小区 ,3室2厅 ,141, 中楼层
银河湾超大户型 上下两层 视野好  装修好,168,8528,银河湾花园 ,5室2厅 ,197, 高楼层
叶与城，精装婚房，基本没住，出售。,200,11628,叶与城 ,4室2厅 ,172, 高楼层
小区绿 化 率 非 常 高淮安 市硬件设施齐,114,10858,苹果墅 ,3室2厅 ,105, 中楼层
金都花园精装修大户型实际面积更为宽阔,165,12444,金都花园 ,3室2厅 ,132.6, 中楼层
香格里拉二期毛坯三室 环境好 出行方便 方便看房,142,10395,香格里拉B区 ,3室2厅 ,136.61, 高楼层
翔宇大道边 中南世纪锦城  品质小区 户型方正,109,11355,中南世纪锦城 ,3室2厅 ,96, 低楼层
香格里拉B区4房2卫，毛坯，满二年，文津小.学,179,9782,香格里拉B区 ,4室2厅 ,183, 中楼层
香格里拉A区 6室2厅 220万,220,10000,香格里拉A区 ,6室2厅 ,220, 高楼层
户型方正，环境优美，房主诚意出售 随时可以看房,280,10938,叶与城 ,6室3厅 ,256, 3层  
香缇豪庭，楼层好，采光好，视野开阔,100,7902,香缇豪庭 ,3室2厅 ,126.56, 低楼层
幸福新苑多层6楼带阁楼  采光充足 视野宽阔,73,8589,幸福新苑 ,2室2厅 ,85, 高楼层
多瑙河大面积精装修的房子急急急出售,115,8215,多瑙河国际公寓 ,4室2厅 ,140, 中楼层
房东诚心出售海通花园多层精装两房,73,8203,海通花园 ,2室2厅 ,89, 中楼层
天生赢家   户型方正  采光刺眼,75,7756,天生赢家 ,2室2厅 ,96.7, 高楼层
中南世纪城二期，四房，三代同堂,115,9746,中南世纪城 ,4室2厅 ,118, 低楼层
大润发旁大户型四房满五唯一业主诚售,95,7600,营东商住楼 ,4室2厅 ,125, 低楼层
新天地荣府精装修三房 万达商圈,160,11511,新天地荣府 ,3室2厅 ,139, 高楼层
户型方正，环境优美，随时可以看房。,155,11356,黄河人家 ,4室2厅 ,136.5, 高楼层
